rank,composite,rho,hof,d,p,maxtan,smiles
1,1.0293216806390688,1.9939887523651123,239.38034057617188,9.53645133972168,40.89536666870117,0.0,O=[N+]([O-])c1nonc1-c1c([N+](=O)[O-])no[n+]1[O-]
2,1.0177990015364269,1.996500015258789,255.6187744140625,9.625484466552734,38.977027893066406,0.0,O=[N+]([O-])c1c(N=Nc2no[n+]([O-])c2[N+](=O)[O-])no[n+]1[O-]
3,1.0175650553835907,1.9975533485412598,268.2423095703125,9.680110931396484,38.956390380859375,0.0,O=[N+]([O-])c1no[n+]([O-])c1/N=N/c1c([N+](=O)[O-])no[n+]1[O-]
4,1.0175479286169753,1.971534013748169,192.48104858398438,9.497222900390625,38.98265075683594,0.0,O=[N+]([O-])c1nonc1Oc1nonc1[N+](=O)[O-]
5,1.0166414656440126,1.9884471893310547,232.86770629882812,9.387496948242188,40.43971633911133,0.0,O=[N+]([O-])n1on2nnnc2n2nnnc12
6,1.0150255461857483,1.9688209295272827,237.24383544921875,9.552473068237305,40.375553131103516,0.0,O=c1nc([N+](=O)[O-])nc2n([N+](=O)[O-])c([N+](=O)[O-])nn12
7,1.0150255461857483,1.9847161769866943,205.08718872070312,9.526874542236328,40.802406311035156,0.0,O=[N+]([O-])c1nc2c(nnn2[N+](=O)[O-])n1[N+](=O)[O-]
8,1.0150255461857483,2.0101091861724854,214.3349609375,9.522767066955566,41.073158264160156,0.0,O=[N+]([O-])c1nn2c(nnn2[N+](=O)[O-])c1[N+](=O)[O-]
9,1.0150255461857483,2.0122427940368652,151.66558837890625,9.568037033081055,41.389305114746094,0.0,O=c1c([N+](=O)[O-])c([N+](=O)[O-])n2nnnc2n1[N+](=O)[O-]
10,1.0150255461857483,1.9563536643981934,240.0662841796875,9.542596817016602,40.05853271484375,0.0,O=c1c([N+](=O)[O-])nn([N+](=O)[O-])c2nc([N+](=O)[O-])nn12
11,1.0150255461857483,1.9944565296173096,183.641845703125,9.650537490844727,40.45198059082031,0.0,O=[N+]([O-])Oc1nn2c([N+](=O)[O-])nnc2nc1[N+](=O)[O-]
12,1.0145401283268378,1.9593698978424072,265.8383483886719,9.369004249572754,40.692420959472656,0.0,[O-][n+]1nc2nonc2[n+]([O-])n1
13,1.0139491789126573,1.9965629577636719,109.14352416992188,9.531839370727539,42.071292877197266,0.0,O=[N+]([O-])N=c1oc([N+](=O)[O-])nn1[N+][O-]
14,1.0137007033078742,1.9546750783920288,140.5758056640625,9.47116470336914,39.218788146972656,0.0,O=[N+]([O-])OC1N([N+](=O)[O-])c2nnnn2-c2nnnn21
15,1.0136446251504874,2.001163959503174,209.56329345703125,9.501378059387207,39.87661361694336,0.0,O=[N+]([O-])c1nc2nnc([N+](=O)[O-])n2nc1[N+](=O)[O-]
16,1.0100422156470097,1.9763784408569336,230.2711181640625,9.351268768310547,39.783050537109375,0.0,O=c1n([N+](=O)[O-])c2nnnn2c2nnnn12
17,1.0079659374034888,1.9580518007278442,98.73007202148438,9.50093936920166,39.82344436645508,0.0,O=[N+]([O-])ON(c1nnnn1-c1nnn[nH]1)[N+](=O)[O-]
18,1.0068786051946943,1.980433702468872,151.695556640625,9.491789817810059,39.59162902832031,0.0,O=c1c2c(nnn1N[N+](=O)[O-])c([N+](=O)[O-])nn2[N+](=O)[O-]
19,1.005470865826849,2.0003821849823,167.70672607421875,9.457263946533203,40.56935119628906,0.0,O=[N+]([O-])c1c([N+](=O)[O-])n([N+](=O)[O-])c2nonc12
20,1.0029386921554,1.9912006855010986,147.40341186523438,9.57168197631836,41.81722640991211,0.0,O=[N+]([O-])N=c1oc([N+](=O)[O-])nn1[N+](=O)[O-]
21,0.9932535069987266,1.915116548538208,191.01962280273438,9.569183349609375,38.587913513183594,0.0,O=[N+]([O-])n1nno1
22,0.9921353809965185,1.9745670557022095,186.91885375976562,9.462428092956543,38.58460235595703,0.0,N=c1c2nnc([N+](=O)[O-])n2nc([N+](=O)[O-])n1[N+](=O)[O-]
